codigo,nombre,parte_analizada,humedad,energia_kcal,energia_kj,proteina,lipidos,carb_totales,carb_disp,fibra,cenizas,calcio,hierro,sodio,fosforo,yodo,zinc,magnesio,potasio,tiamina,riboflavina,niacina,folatos,vit_b12,vit_c,vit_a_er,grasa_sat,grasa_mono,grasa_poli,colesterol,parte_comestible_pct
C018,"Citrón, crudo Pulpa sin semillas",,88.0,47.0,199.0,0.6,0.1,10.9,0.4,,,665.0,3.0,17.0,0.04,4.0,2.0,0.0,24.0,0.0,41.0,,,,,,,,,,
C019,"Coco, crudo",Pulpa,473.0,402.0,1660.0,36.0,255.0,126.0,36.0,90.0,11.0,,,,,,,,,,,,,,,,,,,,
C020,,,,,,,,,,,,20.0,439.4,66.0,206.0,0.3,2.0,90.0,1165.0,0.03,0.02,0.3,9.0,0.0,2.0,0.0,100.0,,,,
C022,"Dátil, seco",Pulpa,21.3,325.0,1377.0,2.4,0.2,74.7,67.3,7.4,1.4,57.0,9.0,2.0,45.0,10.0,3.0,52.0,676.0,6.0,34.0,2.0,22.0,0.0,0.0,2.0,100.0,,,,
C023,"Durazno, crudo “Pulpa sin",Semilla,85.7,58.0,244.0,10.0,1.0,125.0,110.0,15.0,8.0,,,,,,,,,,,,,,,,,,,,
C024,"Feijoa, crudo Pulpa sin semilla 82,0 83 M",,9.0,1.7,0.0,15.8,9.4,65.4,0.5,,,,,,,,,,,,,,,,,,,,,,
C025,"Fresa, madura, cruda",Pulpa,899.0,45.0,189.0,8.0,5.0,83.0,63.0,20.0,5.0,,,,,,,,,,,,,,,,,,,,
C026,"Fresa, pintona, cruda",Pulpa,91.5,38.0,159.0,0.8,0.3,7.0,5.2,1.9,0.4,20.0,4.0,1.0,22.0,80.0,2.0,10.0,183.0,3.0,7.0,4.0,22.0,0.0,64.0,1.0,95.0,,,,
C027,"Granada, cruda Pulpa sin semillas",,844.0,70.0,2905.0,10.0,12.0,129.0,111.0,18.0,5.0,,,,,,,,,,,,,,,,,,,,
C028,,,,,,,,,,,,12.0,0.9,20.0,50.0,0.8,25.0,420.0,0.02,0.35,2.1,14.0,0.0,0.0,28.0,30.0,,,,,
C030,"Guanábana, cruda Pulpa sin semillas",,92.1,33.0,139.0,0.6,0.2,6.8,6.0,0.8,0.3,2.0,9.0,12.0,15.7,5.0,57.0,3.0,6.0,11.0,14.0,0.0,0.0,1.0,70.0,,,,,,
C031,"Guayaba, madura, cruda Pulpa sin semillas",,84.6,71.0,208.0,9.0,0.3,134.0,8.0,5.4,0.7,13.0,3.0,3.0,15.0,3.0,12.0,337.0,4.0,4.0,15.0,49.0,0.0,217.0,31.0,75.0,,,,,
C032,"Guayaba, pintona, cruda Pulpa sin semillas",,82.8,78.0,330.0,0.9,0.4,15.1,9.7,5.4,0.8,16.0,3.0,3.0,26.0,15.0,2.0,14.0,353.0,4.0,4.0,11.0,329.0,0.0,214.0,31.0,75.0,,,,
C033,"Gulupa, madura, cruda ' Pulpa sin semillas",,815.0,74.0,315.0,9.0,1.0,172.0,170.0,2.0,2.0,4.0,2.0,7.0,13.0,17.0,278.0,0.0,13.0,15.0,7.0,0.0,30.0,36.0,56.0,,,,,,
C034,"Gulupa, pintona, cruda Pulpa sin semillas",,83.2,66.0,279.0,0.7,0.0,156.0,15.4,0.2,0.5,4.0,2.0,6.0,13.0,0.0,17.0,278.0,0.0,13.0,15.0,7.0,0.0,30.0,36.0,56.0,,,,,
C035,"Gulupa, verde, cruda ' Pulpa sin semillas",,85.3,57.0,241.0,8.0,0.0,133.0,131.0,2.0,6.0,,,,,,,,,,,,,,,,,,,,
C036,"Harina de banano, cruda",,141.0,340.0,1444.0,3.0,4.0,30.7,798.0,0.9,1.8,10.0,15.0,95.0,0.6,0.08,6.0,11.0,0.0,1.0,28.0,100.0,,,,,,,,,
C037,"Harina de chontaduro, cruda",,78.0,375.0,15900.0,64.0,6.0,839.0,797.0,42.0,13.0,0.0,100.0,,,,,,,,,,,,,,,,,,
C039,"Higo, pintón, crudo ' Pulpa sin semillas",,83.3,72.0,302.0,14.0,11.0,125.0,96.0,29.0,17.0,,,,,,,,,,,,,,,,,,,,
C040,"Higo, verde, crudo Pulpa sin semillas",,85.1,65.0,273.0,0.7,0.5,12.5,8.9,3.0,1.1,,,,,,,,,,,,,,,,,,,,
C043,"Lima, cruda ' Pulpa sin semillas",,924.0,35.0,147.0,5.0,1.0,66.0,38.0,28.0,4.0,,,,,,,,,,,,,,,,,,,,
C044,"Limón, crudo Pulpa sin semillas",,89.7,44.0,186.0,0.3,0.3,9.3,7.8,1.5,0.4,19.0,5.0,4.0,15.0,0.1,8.0,143.0,5.0,1.0,1.0,1.0,0.0,42.0,1.0,50.0,,,,,
C046,"Macadamia, seca Nuez",,3.0,579.0,2411.0,5.9,364.0,526.0,40.0,86.0,2.0,85.0,37.0,5.0,188.0,12.0,130.0,368.0,120.0,16.0,25.0,11.0,0.0,1.0,100.0,,,,,,
C048,"Mamey, crudo Pulpa sin semillas",,85.8,62.0,262.0,0.4,0.1,134.0,10.4,3.0,0.3,,,,,,,,,,,,,,,,,,,,
C050,"Mandarina, cruda Pulpa sin semillas",,87.2,54.0,228.0,0.9,0.1,11.4,9.6,18.0,0.4,35.0,3.0,2.0,21.0,0.2,12.0,151.0,6.0,3.0,2.0,18.0,0.0,24.0,35.0,70.0,,,,,
C051,"Mango común, crudo Pulpa sin semilla.",,818.0,79.0,334.0,6.0,0.0,17.1,132.0,39.0,5.0,,,,,,,,,,,,,,,,,,,,
C052,"Mango Tommy Atkins, crudo Pulpa sin",Semilla,52.6,19.0,824.0,0.4,0.1,469.0,48.0,2.1,0.0,8.0,1.0,14.0,0.1,7.0,138.0,0.04,0.0,70.0,76.0,,,,,,,,,,
C053,"Mangostino, crudo Pulpa sin semillas",,82.0,75.0,319.0,8.0,0.1,168.0,150.0,18.0,2.0,7.0,16.0,2.0,12.0,0.2,13.0,130.0,5.0,1.0,3.0,31.0,0.0,13.0,0.0,32.0,,,,,
C054,"Manzana común, cruda Pulpa sin semillas",,82.7,72.0,305.0,0.3,0.2,16.5,15.0,1.5,0.3,16.0,3.0,2.0,10.0,0.0,0.0,5.0,107.0,5.0,2.0,2.0,1.0,0.0,10.0,3.0,85.0,,,,
C055,"Manzana de agua, cruda Pulpa sin semillas",,87.8,53.0,222.0,17.0,10.0,92.0,0.3,,,12.0,4.0,10.0,0.0,4.0,65.0,,,,,,,,,,,,,,
C056,"| Maracuyá, cruda Pulpa sin semillas",,849.0,60.0,256.0,15.0,5.0,124.0,122.0,2.0,7.0,9.0,17.0,6.0,21.0,0.1,25.0,271.0,1.0,17.0,8.0,8.0,0.0,20.0,173.0,32.0,,,,,
C057,"Marañón, frito, sin sal Nuez",,4.1,623.0,2587.0,16.1,482.0,296.0,263.0,33.0,20.0,4383.0,60.0,13.0,531.0,53.0,273.0,632.0,36.0,22.0,17.0,25.0,0.0,100.0,,,,,,,
C058,Marañón. seco Nuez,,87.0,56.0,237.0,0.7,0.4,115.0,9.8,1.7,0.4,5.0,0.0,7.0,24.0,0.1,10.0,122.0,3.0,5.0,4.0,0.0,200.0,5.0,70.0,,,,,,
C059,"Marañón, tostado, sin sal Nuez",,2.0,620.0,2576.0,153.0,46.4,339.0,309.0,30.0,25.0,,,,,,,,,,,,,,,,,,,,
C060,"Melón, crudo Pulpa sin semillas",,93.6,25.0,106.0,0.7,0.0,5.0,4.0,1.0,0.6,3.0,7.0,17.0,6.0,1.0,7.0,224.0,4.0,2.0,6.0,21.0,0.0,0.0,68.0,50.0,,,,,
C061,"Mora de Castilla, cruda Pulpa sin semillas",,83.7,74.0,311.0,10.0,1.0,146.0,93.0,53.0,56.0,17.0,1.0,10.0,5.0,20.0,161.0,22.0,5.0,9.0,25.0,0.0,18.0,0.0,90.0,,,,,,
C064,,,,,,,,,,,,166.0,24.0,3.0,746.0,200.0,41.0,378.0,662.0,64.0,4.0,3.0,22.0,0.0,1.0,0.0,100.0,,,,
C065,"| Papaya, madura, cruda Pulpa sin semillas |",,90.7,40.0,169.0,5.0,1.0,82.0,62.0,20.0,5.0,,,,,,,,,,,,,,,,,,,,
C066,"| Papaya. pintona, cruda | Pulpa sin semillas | 89,0 47 | 197 05| 01 99|",,80.0,19.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
C067,,,,,,,,,,,,10.0,3.0,21.0,0.02,3.0,6.0,0.0,70.0,24.0,45.0,,,,,,,,,,
C071,,,,,,,,,,,,4.0,1.0,9.0,20.0,1.0,5.0,106.0,7.0,4.0,2.0,7.0,0.0,0.0,85.0,,,,,,
C072,"| Piña, cruda Pulpa sin semillas | 86,5| 56 239 06 01 124 |",,107.0,17.0,4.0,,,,,,,16.0,5.0,3.0,9.0,0.0,2.0,12.0,159.0,6.0,5.0,3.0,16.0,0.0,23.0,8.0,55.0,,,,
C074,"| Pistacho, tostado, sin sal | Nuez 2,1 666 2759 149 528 |",,276.0,173.0,103.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,
C076,"| Pitahaya roja, cruda Pulpa sin semillas 87,3|",,56.0,236.0,5.0,1.0,116.0,83.0,33.0,5.0,,26.0,2.0,26.0,0.1,1.0,3.0,2.0,0.0,25.0,3.0,55.0,,,,,,,,,
C077,,,,,,,,,,,,49.09,2.0,31.0,2.0,14.0,78.0,2.0,3.0,7.0,0.0,25.0,40.0,65.0,,,,,,,
C080,,,,,,,,,,,,81.0,11.0,28.0,86.0,1.0,92.0,621.0,20.0,19.0,25.0,14.0,0.0,20.0,2.0,45.0,,,,,
C082,"| Tomate de árbol rojo, crudo Pulpa sin semillas | 86,7 | 55 232 20 02 102|",,82.0,20.0,8.0,,,,,,,109.0,0.0,41.0,0.1,16.0,0.05,3.0,11.0,0.0,29.0,112.0,86.0,,,,,,,,
C084,"| Uchuva, cruda Pulpa sin semillas | 82,1 77 326| 15 05 142|",,91.0,51.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,
C085,"| Uva blanca, cruda Pulpa sinsemilas | 905] $",,8.0,162.0,5.0,0.0,88.0,7709.0,4.0,,,,,,,,,,,,,,,,,,,,,,
C086,,,,,,,,,,,,4.0,9.0,10.0,20.0,1.0,4.0,320.0,3.0,1.0,1.0,27.0,0.0,14.0,7.0,90.0,,,,,
C088,"| Zapote blanco, crudo Pulpa sin semillas | 769 |",,102.0,430.0,12.0,26.0,185.0,0.8,,,,,,,,,,,,,,,,,,,,,,,
D002,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259.0,179.0,515.0,0.0,100.0,
D004,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,344.0,516.0,0.0,100.0,
D006,| Aceite de maíz |,,0.0,900.0,3700.0,0.0,1000.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
D008,| Aceite de oliva | ' 00|,,900.0,3700.0,0.0,1000.0,0.0,0.0,0.0,,,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,9.6,0.0,0.0,100.0,
D012,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,233.0,579.0,0.0,100.0
D016,,,,,,,,,,,,34.0,17.0,478.0,323.0,25.0,162.0,649.0,0.1,10.0,133.0,74.0,0.0,0.0,0.0,96.0,236.0,144.0,0.0,100.0,
D018,,,,,,,,,,,,14.0,0.0,877.0,14.0,260.0,0.0,2.0,44.0,1.0,4.0,0.0,1.0,10.0,0.0,819.0,346.0,458.0,0.0,0.0,100.0
E001,"Almeja, de agua dulce, cruda",,828.0,66.0,278.0,140.0,10.0,3.0,0.0,20.0,,43.0,17.0,46.0,170.0,160.0,13.0,19.0,274.0,8.0,14.0,13.0,16.0,1128.0,2.0,9.0,2.0,1.0,2.0,30.0,11.0
E002,"Arenque, entero, crudo",,70.3,156.0,651.0,179.0,90.0,7.0,0.0,21.0,,57.0,11.0,80.0,235.0,290.0,10.0,32.0,326.0,0.09,24.0,36.0,10.0,1354.0,0.0,32.0,20.0,37.0,21.0,60.0,54.0
E003,"Atún, enlatado en aceite",,614.0,211.0,881.0,255.0,121.0,0.0,0.0,15.0,,8.0,15.0,391.0,250.0,140.0,5.0,34.0,212.0,2.0,8.0,123.0,5.0,220.0,0.0,5.0,18.0,36.0,55.0,40.0,100.0
E004,,,,,,,,,,,,14.0,1.0,37.0,219.0,13.0,0.5,33.0,237.0,0.02,0.05,5.8,2.0,1.17,0.0,6.0,0.8,0.8,1.1,42.0,100.0
E005,"Bagre, graso, sin cabeza, crudo Cuerpo sin cabeza",,725.0,165.0,685.0,155.0,114.0,0.0,0.0,8.0,,8.0,6.0,98.0,200.05,19.0,302.0,0.02,0.1,20.0,10.0,288.0,0.0,0.0,13.0,26.0,11.0,55.0,85.0,,
E006,"| Bagre, magro, entero, cocido, sin sal",,747.0,138.0,576.0,182.0,72.0,0.0,0.0,11.0,,15.0,5.0,101.0,200.0,100.0,6.0,24.0,301.0,4.0,8.0,23.0,12.0,200.0,0.0,1.0,16.0,31.0,14.0,66.0,66.0
E007,"Bagre, magro, sin cabeza, crudo Cuerpo sin cabeza",,78.7,93.0,290.0,175.0,24.0,2.0,0.0,12.0,,19.0,19.0,83.0,201.0,9.0,6.0,27.0,279.0,0.19,8.0,20.0,5.0,200.0,0.0,15.0,4.0,8.0,8.0,46.0,92.0
E008,"Bagre, semigraso, sin cabeza, crudo Cuerpo sin cabeza",,76.9,118.0,494.0,155.0,5.9,0.7,0.0,1.0,,2.0,98.0,204.0,5.0,19.0,302.0,2.0,8.0,21.0,10.0,288.0,0.0,0.0,13.0,26.0,11.0,55.0,92.0,,
E009,"Bocachico, entero, cocido, sin sal",,723.0,138.0,578.0,20.1,64.0,0.0,0.0,12.0,,76.0,9.0,97.0,166.0,8.0,22.0,266.0,0.06,13.0,245.0,88.0,32.0,13.0,7.0,105.0,51.0,,,,
E010,"Bocachico, sin cabeza, crudo Cuerpo sin cabeza",,76.6,906.0,408.0,20.2,15.0,0.5,0.0,1.2,,24.0,21.0,255.0,0.08,3.0,654.0,,,,,,,,,,,,,,
E011,"Bocachico, sin cabeza, salado, crudo Cuerpo sin cabeza",,78.8,126.0,526.0,170.0,64.0,0.0,0.0,1.1,,,,,,,,,,,,,,,,,,,,,
E012,"Bonito, sin cabeza, crudo Cuerpo sin cabeza",,70.6,134.0,564.0,24.0,42.0,0.0,0.0,1.2,,27.0,31.0,40.0,258.0,0.3,293.0,0.02,0.06,128.0,0.0,0.0,0.0,0.0,0.0,51.0,,,,,
E013,"Cachama, entera, frita, con sal",,61.1,254.0,10588.0,27.0,162.0,0.0,0.0,22.0,,21.0,12.0,610.0,229.0,5.0,36.0,460.0,0.04,0.12,518.0,8.0,100.0,58.0,4.0,152.0,83.0,,,,
E014,"Cachama, sin cabeza, cruda Cuerpo sin cabeza",,77.0,106.0,447.0,181.0,38.0,0.0,0.0,11.0,,18.0,14.0,203.0,78.0,,,,,,,,,,,,,,,,
E015,"Calamar, crudo",,805.0,79.0,3386.0,164.0,15.0,1.0,0.0,15.0,,32.0,7.0,44.0,148.0,200.0,15.0,33.0,246.0,2.0,41.0,22.0,5.0,130.0,0.0,10.0,4.0,1.0,5.0,233.0,70.0
E016,"Camarón, cocido, sin sal",,740.0,103.0,436.0,235.0,10.0,0.0,0.0,15.0,,90.0,30.0,223.0,257.0,100.0,16.0,36.0,182.0,0.01,3.0,20.0,4.0,149.0,0.0,68.0,3.0,2.0,4.0,205.0,83.0
E017,"Camarón, crudo 765 9%",,400.0,203.0,12.0,5.0,0.0,14.0,,,,82.0,25.0,163.0,19.0,900.0,13.0,36.0,181.0,3.0,2.0,22.0,12.0,124.0,0.0,54.0,3.0,2.0,6.0,145.0,87.0
E018,"Cangrejo, crudo",,797.0,84.0,353.0,173.0,16.0,0.0,0.0,16.0,,75.0,5.0,423.0,180.0,37.0,3.3,36.0,208.0,0.14,0.06,1.6,10.0,1.15,0.0,1.0,0.2,0.3,0.5,139.0,30.0
E019,"Caracol de mar, orudo",,68.3,123.0,519.0,238.0,14.0,237.0,0.0,28.0,,10.0,35.0,70.0,272.0,10.0,250.0,382.0,1.0,0.12,14.0,6.0,50.0,0.0,26.0,0.0,0.0,0.0,65.0,100.0,
E020,"Carite, entero, crudo",,763.0,106.0,445.0,186.0,35.0,1.0,0.0,16.0,,19.0,3.0,65.0,257.0,400.0,4.0,24.0,435.0,6.0,5.0,64.0,9.0,104.0,0.0,20.0,3.0,5.0,4.0,49.0,80.0
E021,"Corvina, de mar, filete, crudo Filete",,78.0,100.0,420.0,178.0,32.0,0.0,0.0,10.0,,15.0,4.0,56.0,208.0,4.0,40.0,345.0,0.08,9.0,42.0,15.0,250.0,0.0,18.0,11.0,11.0,5.0,61.0,100.0,
E022,"Jaiba o cangrejo azul, cocida, sin sal",,77.9,87.0,367.0,191.0,11.0,1.0,0.0,18.0,,89.0,7.0,293.0,229.0,40.0,36.0,34.0,329.0,0.08,4.0,27.0,44.0,90.0,3.0,2.0,2.0,2.0,4.0,78.0,100.0
E023,"Langosta, cruda",,797.0,82.0,346.0,162.0,19.0,0.0,0.0,22.0,,61.0,6.0,423.0,180.0,37.0,28.0,37.0,206.0,0.13,6.0,19.0,10.0,113.0,0.0,1.0,2.0,3.0,4.0,127.0,35.0
E024,"Langostino, crudo",,82.5,71.0,300.0,14.5,1.4,0.0,0.0,1.5,,52.0,9.0,531.0,252.0,21.0,12.0,26.0,300.0,0.02,2.0,20.0,30.0,166.0,0.0,30.0,3.0,4.0,3.0,1588.0,47.0
E025,"Lenguado, entero, crudo",,802.0,81.0,341.0,167.0,14.0,3.0,0.0,14.0,,19.0,3.0,119.0,181.0,330.0,5.0,22.0,278.0,9.0,18.0,32.0,11.0,100.0,0.0,10.0,3.0,2.0,3.0,48.0,80.0
E026,"- Lisa, sin cabeza, cruda Cuerpo sin cabeza",,76.6,105.0,442.0,180.0,34.0,6.0,0.0,14.0,,34.0,12.0,65.0,199.0,330.0,0.7,29.0,376.0,0.05,11.0,48.0,9.0,22.0,0.0,37.0,11.0,10.0,11.0,40.0,50.0
E027,"| Lisa, sin cabeza, salada, cruda Cuerpo sin cabeza",,723.0,125.0,526.0,218.0,40.0,4.0,0.0,15.0,,33.0,10.0,65.0,202.0,190.0,5.0,29.0,359.0,0.0,1.0,9.0,46.0,9.0,22.0,0.0,37.0,9.0,9.0,6.0,40.0
E028,,,,,,,,,,,,1.9,217.0,0.01,0.08,47.0,6.0,100.0,,,,,,,,,,,,,
E030,,,,,,,,,,,,27.0,8.0,75.0,186.0,27.0,3.0,24.0,288.0,6.0,0.07,13.0,12.0,120.0,0.0,17.0,3.0,5.0,5.0,41.0,100.0
E032,,,,,,,,,,,,109.0,52.0,325.0,81.0,20.0,591.0,43.0,239.0,0.1,0.17,16.0,11.0,1674.0,0.0,4.0,4.0,3.0,9.0,53.0,15.0
E034,,,,,,,,,,,,53.0,34.0,230.0,180.0,200.0,1.7,30.0,350.0,4.0,7.0,21.0,16.0,2000.0,0.0,45.0,3.0,1.0,3.0,48.0,79.0
E036,"| Róbalo o gualajo, entero, crudo po",,785.0,92.0,387.0,184.0,20.0,0.0,0.0,10.0,,,,,,,,,,,,,,,,,,,,,
E040,"Sardinas, enlatadas en salsa de tomate 669 | 177 738 209|",,103.0,1.0,0.0,129.0,,,,,,,,,,,,,,,,,,,,,,,,,
E044,,,,,,,,,,,,72.0,19.0,250.0,199.0,9.0,27.0,388.0,4.0,12.0,15.0,141.0,44.0,,,,,,,,
E046,,,,,,,,,,,,16.0,13.0,58.0,251.0,30.0,6.0,30.0,346.0,6019.0,32.0,5.0,432.0,0.0,16.0,9.0,13.0,11.0,82.0,52.0,
E081,,,,,,,,,,,,14.0,9.0,80.0,210.0,70.0,5.0,20.0,255.0,80.0,14.0,24.0,11.0,200.0,0.0,47.0,2.0,2.0,3.0,32.0,57.0
E083,,,,,,,,,,,,8.0,0.5,30.0,43.0,0.5,0.1,0.09,0.14,0.6,0.0,19.0,56.0,58.0,,,,,,,
E097,,,,,,,,,,,,200.0,10.0,484.0,300.0,76.0,1.0,30.0,350.0,2.0,0.16,57.0,11.0,400.0,28.0,19.0,30.0,24.0,46.0,100.0,
F001,"Armadillo, carne, cruda",,645.0,165.0,693.0,2900.0,54.0,0.0,0.0,11.0,,,,,,,,,,,,,,,,,,,,,
F002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F003,"Butifarra, precocida",,57.8,256.0,1062.0,152.0,202.0,33.0,0.0,35.0,,51.0,19.0,703.0,51.0,5.0,140.0,4.0,0.13,24.0,2.0,0.0,68.0,89.0,30.0,50.0,100.0,,,,
F006,,,,,,,,,,,,53.0,22.0,75.0,0.01,0.11,4.0,2.0,100.0,,,,,,,,,,,,
F007,"— Cerdo, brazo, cocido, sin sal Brazo",,635.0,184.0,769.0,268.0,85.0,0.0,0.0,12.0,,,,,,,,,,,,,,,,,,,,,
F009,"Cerdo, brazo, horneado, sin sal Brazo",,60.2,220.0,920.0,26.7,126.0,0.0,0.0,11.0,,9.0,14.0,80.0,258.0,70.0,41.0,20.0,357.0,57.0,39.0,43.0,5.0,78.0,0.0,0.0,36.0,37.0,12.0,95.0,100.0
F010,,,,,,,,,,,,8.0,8.0,57.0,166.0,21.0,18.0,385.0,79.0,19.0,55.0,4.0,55.0,0.0,2.0,80.0,99.0,28.0,72.0,100.0,
F011,"Cerdo, carne magra, cruda",,713.0,140.0,590.0,214.0,60.0,2.0,0.0,11.0,,,,,,,,,,,,,,,,,,,,,
F012,"Cerdo, carne muy gorda, cruda",,35.7,522.0,2153.0,9.3,53.7,0.5,0.0,0.8,,6.0,5.0,32.0,108.0,50.0,10.0,4.0,185.0,42.0,24.0,46.0,1.0,84.0,0.0,2.0,105.0,245.0,64.0,72.0,100.0
F014,"Cerdo, costilla, cocida, sin sal Costilla",,53.9,258.0,1079.0,29.5,15.6,0.0,0.0,1.1,,,,,,,,,,,,,,,,,,,,,
F015,"Cerdo, costilla, cruda Costilla",,594.0,277.0,1150.0,187.0,225.0,0.0,0.0,9.0,,1.0,10.0,93.0,180.0,20.0,18.0,20.0,255.0,62.0,26.0,51.0,4.0,87.0,0.0,5.0,74.0,69.0,25.0,75.0,77.0
F016,"Cerdo, costilla, horneada, sin sal Costilla 48,1 M",,1.0,1494.0,244.0,27.0,0.0,0.0,1.0,,,45.0,13.0,111.0,178.0,33.0,21.0,314.0,48.0,36.0,46.0,0.0,77.0,0.0,6.0,110.0,135.0,23.0,118.0,50.0,
F017,"— Cerdo, hígado, crudo Hígado",,723.0,123.0,519.0,214.0,37.0,11.0,0.0,15.0,,10.0,233.0,87.0,360.0,100.0,64.0,19.0,296.0,40.0,300.0,151.0,212.0,25.63,25.0,6499.0,11.0,5.0,9.0,301.0,100.0
F019,"Cerdo, lomo, crudo Lomo",,743.0,110.0,465.0,216.0,25.0,3.0,0.0,13.0,,,,,,,,,,,,,,,,,,,,,
F020,"Cerdo, lomo, horneado, sin sal Lomo",,60.1,170.0,719.0,35.1,3.2,0.2,0.0,1.4,,16.0,12.0,55.0,259.0,25.0,31.0,401.0,70.0,34.0,66.0,0.0,56.0,0.0,0.0,13.0,16.0,4.0,42.0,100.0,
F021,"Cerdo, panceta o tocineta, cocida, sin sal Panceta",,20.4,465.0,1934.0,39.0,34.1,0.5,0.0,6.0,,23.0,8.0,87.0,18.0,35.0,34.0,252.0,55.0,17.0,56.0,10.0,0.0,6.0,15.2,56.0,111.0,100.0,,,
F022,,,,,,,,,,,,5.0,7.0,1118.0,127.0,110.0,13.0,12.0,210.0,41.0,10.0,42.0,2.0,50.0,0.0,8.0,133.0,174.0,65.0,66.0,100.0
F023,"| Cerdo, panceta o tocineta, salteada, sin sal ' Panceta",,47.0,354.0,1467.0,224.0,294.0,0.0,0.0,12.0,,,,,,,,,,,,,,,,,,,,,
F024,"Cerdo, pierna o pernil, cocida, sin sal Pierna",,67.2,148.0,623.0,27.1,4.3,0.0,0.0,1.3,,,,,,,,,,,,,,,,,,,,,
F025,"Cerdo, pierna o pernil. cruda Pierna",,729.0,131.0,551.0,205.0,54.0,2.0,0.0,11.0,,,,,,,,,,,,,,,,,,,,,
F027,"Cerdo, riñón, crudo Riñón",,800.0,375.0,162.0,27.0,0.0,0.0,11.0,,,,,,,,,,,,,,,,,,,,,,
F028,"Cerdo, tocino, cocido, sin sal Tocino",,10.3,751.0,3093.0,104.0,78.8,0.0,0.0,0.4,,,,,,,,,,,,,,,,,,,,,
F029,"Cerdo, tocino, crudo Tocino",,108.0,784.0,3224.0,29.0,858.0,0.0,0.0,56.0,,,,,,,,,,,,,,,,,,,,,
F030,"Cerdo, tocino, frito en su propia grasa (chicharrón), con sal Tocino",,16.9,599.0,2477.0,208.0,56.1,2.8,0.0,3.4,,61.0,28.0,125.0,149.0,8.0,9.0,171.0,3.0,20.0,38.0,0.0,0.0,0.0,153.0,196.0,79.0,105.0,100.0,,
F031,"— Cerdo, tocino, salteado, sin sal Tocino",,98.0,754.0,3106.0,10.2,792.0,1.0,0.0,8.0,,9.0,14.0,18.0,66.0,35.0,33.0,565.0,2.0,19.0,30.0,2.0,123.0,0.0,11.0,327.0,328.0,138.0,40.0,100.0,
F032,"Chiguiro, carne, salada, cruda",,63.7,134.0,563.0,22.1,45.0,1.2,0.0,8.5,,186.0,2.7,186.0,0.01,0.22,7.1,0.0,100.0,,,,,,,,,,,,
F033,"Chiguiro, pierna o pernil, cruda Pierna 700 9%",,401.0,220.0,7.0,0.0,0.0,72.0,,,,,,,,,,,,,,,,,,,,,,,
F034,"Chorizo de cerdo y res, crudo",,47.0,321.0,1334.0,24.1,23.1,4.0,0.0,18.0,,9.0,21.0,1190.0,271.0,109.0,12.0,10.0,181.0,0.12,28.0,71.0,1.0,9.0,0.0,0.0,96.0,11.0,25.0,73.0,100.0
F035,"Chorizo de pollo, crudo",,529.0,217.0,910.0,313.0,102.0,1.0,0.0,55.0,,,,,,,,,,,,,,,,,,,,,
F036,"Codomiz o perdiz, entera sin piel, cruda",,71.0,133.0,560.0,22.4,45.0,0.8,0.0,1.3,,13.0,45.0,51.0,307.0,2.0,2.7,25.0,237.0,0.28,0.28,8.2,7.0,0.46,7.0,17.0,1.3,1.3,1.2,70.0,61.0
F037,"Conejo, carne, cocida, sin sal",,59.8,198.0,833.0,304.0,84.0,3.0,0.0,11.0,,20.0,24.0,45.0,22.0,24.0,20.0,300.0,6.0,17.0,72.0,9.0,651.0,0.0,0.0,24.0,20.0,15.0,86.0,100.0,
F038,"Conejo, carne, cruda",,72.8,134.0,560.0,20.1,5.8,0.2,0.0,1.1,,22.0,16.0,41.0,220.0,30.0,14.0,25.0,343.0,10.0,14.0,73.0,8.0,716.0,0.0,0.0,26.0,17.0,18.0,56.0,57.0
F039,,,,,,,,,,,,30.0,140.0,240.0,0.24,190.0,120.0,20.0,8404.0,100.0,,,,,,,,,,,
F040,,,,,,,,,,,,37.0,9.8,240.0,0.29,2.1,9.3,10.0,140.0,100.0,,,,,,,,,,,
F041,"Cordero, carne gorda, cruda",,61.6,252.0,1044.0,168.0,20.5,0.1,0.0,1.0,,13.0,21.0,58.0,170.0,20.0,34.0,21.0,286.0,12.0,22.0,61.0,3.0,201.0,0.0,0.0,97.0,82.0,13.0,72.0,100.0
F042,,,,,,,,,,,,7.0,22.0,67.0,18.0,60.0,36.0,24.0,308.0,0.13,21.0,30.0,15.0,242.0,0.0,0.0,21.0,24.0,5.0,66.0,100.0
