codigo,nombre,parte_analizada,humedad,energia_kcal,energia_kj,proteina,lipidos,carb_totales,carb_disp,fibra,cenizas,calcio,hierro,sodio,fosforo,yodo,zinc,magnesio,potasio,tiamina,riboflavina,niacina,folatos,vit_b12,vit_c,vit_a_er,grasa_sat,grasa_mono,grasa_poli,colesterol,parte_comestible_pct
A086,"Semolina, sin enriquecer, cruda",,12.9,362.0,1536.0,127.0,18.0,719.0,680.0,39.0,8.0,18.0,1.0,1.0,110.0,1.1,47.0,186.0,0.29,0.08,3.3,72.0,0.0,0.0,0.0,0.2,0.1,0.4,0.0,100.0,
A087,"Tostadas o calados, horneados",,90.0,398.0,1682.0,10.0,68.0,723.0,687.0,36.0,18.0,40.0,36.0,570.0,139.0,70.0,9.0,26.0,122.0,40.0,0.37,15.0,103.0,5.0,0.0,0.0,7.0,6.0,14.0,0.0,100.0
A088,,,,,,,,,,,,35.0,42.0,2.0,359.0,3.1,90.0,435.0,46.0,0.13,48.0,41.0,0.0,0.0,0.0,23.0,2.0,8.0,0.0,100.0,
A089,"Trigo duro, crudo",Semilla,130.0,375.0,1585.0,113.0,18.0,724.0,602.0,122.0,15.0,31.0,39.0,2.0,346.0,6.0,36.0,93.0,411.0,38.0,12.0,46.0,38.0,0.0,0.0,0.0,3.0,2.0,9.0,0.0,100.0
A552,,,,,,,,,,,,12.0,20.0,1217.0,238.0,50.0,17.0,24.0,305.0,66.0,17.0,58.0,4.0,100.0,0.0,0.0,15.0,20.0,8.0,58.0,100.0
A553,,,,,,,,,,,,0.0,100.0,,,,,,,,,,,,,,,,,,
B001,,,,,,,,,,,,52.0,5.0,1556.0,0.0,11.0,42.0,2.0,1.0,2.0,3.0,0.0,1.0,24.0,100.0,,,,,,
B002,,,,,,,,,,,,56.0,5.0,1842.0,5.0,0.0,1.0,42.0,3.0,1.0,0.0,2.0,0.0,0.0,29.0,100.0,,,,,
B003,,,,,,,,,,,,49.0,18.0,212.0,52.0,4.0,81.0,441.0,7.0,15.0,4.0,165.0,0.0,30.0,413.0,85.0,,,,,
B004,,,,,,,,,,,,31.0,8.0,150.0,14.0,10.0,3.0,10.0,427.0,2.0,3.0,1.0,22.0,0.0,3.0,263.0,100.0,,,,
B005,,,,,,,,,,,,14.0,3.0,1.0,24.0,2.0,11.0,218.0,5.0,4.0,3.0,0.0,3.0,1093.0,100.0,,,,,,
B006,,,,,,,,,,,,20.0,8.0,1.0,24.0,0.2,12.0,340.0,5.0,5.0,6.0,16.0,0.0,9.0,17715.0,85.0,,,,,
B007,,,,,,,,,,,,13.0,10.0,2.0,29.0,2.12,21.0,7.0,9.0,16.0,18.0,0.0,100.0,460.0,90.0,,,,,,
B008,,,,,,,,,,,,19.0,11.0,348.0,3.0,23.0,334.0,8.0,12.0,14.0,23.0,0.0,234.0,54.0,90.0,,,,,,
B009,,,,,,,,,,,,40.0,13.0,19.0,135.0,47.0,10.0,23.0,520.0,12.0,7.0,7.0,4.0,0.0,9.0,0.0,95.0,,,,
B010,"Alcachofa, cruda Flor",,86.4,61.0,257.0,2.6,0.2,9.7,4.6,5.1,1.1,,,,,,,,,,,,,,,,,,,,
B012,,,,,,,,,,,,0.0,100.0,,,,,,,,,,,,,,,,,,
B013,,,,,,,,,,,,27.0,4.0,311.0,16.0,7648.0,1.0,2.0,5.0,59.0,0.0,0.0,100.0,,,,,,,,
B014,"Apio, crudo Tallos",,93.7,26.0,11.0,0.7,0.2,4.6,2.7,19.0,0.8,,,,,,,,,,,,,,,,,,,,
B015,"Arracacha amarilla, sin cáscara, cruda",Raíz,715.0,111.0,472.0,9.0,0.1,263.0,257.0,6.0,12.0,21.0,9.0,1.0,52.0,0.0,12.0,505.0,6.0,6.0,38.0,0.0,20.0,57.0,80.0,,,,,,
B017,"Arracacha morada, sin cáscara, cruda",Raíz,715.0,114.0,483.0,9.0,1.0,263.0,242.0,21.0,12.0,22.0,11.0,0.0,50.0,2.0,12.0,505.0,5.0,4.0,34.0,0.0,18.0,2.0,80.0,,,,,,
B020,,,,,,,,,,,,16.0,12.0,78.0,0.09,5.0,9.0,0.0,15.0,100.0,,,,,,,,,,,
B021,,,,,,,,,,,,25.0,4.0,21.0,40.0,20.0,3.0,17.0,340.0,7.0,3.0,6.0,13.0,0.0,20.0,673.0,80.0,,,,
B022,,,,,,,,,,,,7.0,2.0,1.0,15.0,0.1,1.0,118.0,8.0,2.0,6.0,14.0,0.0,1.0,6.0,100.0,,,,,
B024,"Berro, crudo Hojas",,93.6,27.0,12.0,1.7,0.3,3.3,1.3,2.0,1.1,,,,,,,,,,,,,,,,,,,,
B025,"Brócoli, crudo Flor",,88.9,46.0,195.0,30.0,3.0,66.0,40.0,2.6,1.2,,,,,,,,,,,,,,,,,,,,
B027,"Cebolla cabezona, cruda",Pulpa,90.3,20.0,171.0,14.0,0.1,7.7,6.0,17.0,5.0,,,,,,,,,,,,,,,,,,,,
B028,,,,,,,,,,,,84.0,15.0,16.0,31.0,4.0,20.0,276.0,6.0,9.0,6.0,64.0,0.0,15.0,60.0,45.0,,,,,
B029,,,,,,,,,,,,57.0,5.0,15.0,31.0,0.2,17.0,232.0,4.0,5.0,3.0,26.0,0.0,13.0,200.0,40.0,,,,,
B030,,,,,,,,,,,,58.0,8.0,20.0,51.0,0.1,28.0,180.0,7.0,5.0,5.0,64.0,0.0,12.0,50.0,95.0,,,,,
B031,"Cebolla, deshidratada",Pulpa,39.0,391.0,1659.0,86.0,5.0,836.0,744.0,92.0,34.0,,,,,,,,,,,,,,,,,,,,
B032,"Cebolla, pasta escaldada 79,7 97 408 15| 345/| 1981/",,1.0,115.0,2.3,1.4,,,,,,31.0,6.0,369.0,328.0,0.0,1.0,100.0,,,,,,,,,,,,,
B033,,,,,,,,,,,,6.0,6.0,5.0,80.0,30.0,5.0,9.0,318.0,9.0,40.0,39.0,17.0,0.0,2.0,0.0,100.0,,,,
B034,"Champiñón, en conserva Sombrero y",Tallo,90.0,43.0,180.0,1.9,0.4,6.6,4.1,2.5,1.1,,,,,,,,,,,,,,,,,,,,
B035,,,,,,,,,,,,82.0,18.0,46.0,60.0,5.0,26.0,521.0,26.0,21.0,15.0,62.0,0.0,68.0,390.0,90.0,,,,,
B036,"Colo repollitas de bruselas, cruda Flor 85,8 60 254 3,4 0,3 9,1 |",,5.3,3.8,1.4,,,,,,,42.0,1.4,25.0,1.0,10.0,0.4,23.0,389.0,0.14,0.13,0.7,61.0,0.0,94.0,43.0,0.0,,,,
B037,"Col silvestre, cruda Flor",,86.7,50.0,210.0,25.0,5.0,84.0,76.0,8.0,1.9,,,,,,,,,,,,,,,,,,,,
B039,,,,,,,,,,,,25.0,7.0,41.0,57.0,3.0,12.0,310.0,3.0,8.0,5.0,57.0,0.0,55.0,15.0,80.0,,,,,
B040,"Colinabo, sin cáscara, crudo",Raíz,91.6,35.0,149.0,1.7,0.1,5.7,3.3,2.4,0.9,48.0,4.0,13.0,46.0,0.2,19.0,333.0,0.06,0.03,0.5,21.0,0.0,60.0,1.0,50.0,,,,,
B041,,,,,,,,,,,,23.0,9.0,1.0,54.0,0.0,6.0,14.0,224.0,0.16,14.0,11.0,149.0,0.0,8.0,56.0,100.0,,,,
B042,"Espárrago, crudo Tallos",,92.7,32.0,133.0,2.0,0.2,44.0,2.3,2.1,0.7,,,,,,,,,,,,,,,,,,,,
B044,"Espinaca, cruda Hojas 91,4 q",,4.0,142.0,2.9,0.2,3.8,13.0,2.6,1.7,,123.0,2.4,66.0,42.0,1.0,0.5,79.0,474.0,0.08,0.19,0.7,194.0,0.0,26.0,533.0,50.0,,,,
B045,"Frijol verde, crudo",Semilla,58.2,166.0,702.0,10.55,0.4,290.0,27.0,2.0,1.9,,,,,,,,,,,,,,,,,,,,
B046,,,,,,,,,,,,567.0,3.3,220.0,756.0,0.39,0.08,14.0,0.0,16.0,50.0,,,,,,,,,,
B048,"Guatila, sin cáscara, cruda",Pulpa,93.5,27.0,115.0,0.8,0.0,5.2,3.5,1.7,0.5,15.0,5.0,2.0,2.0,7.0,12.0,125.0,3.0,4.0,6.0,93.0,0.0,15.0,4.0,65.0,,,,,
B049,,,,,,,,,,,,6.0,25.0,180.0,17.0,10.0,8.0,7.0,0.0,30.0,33.0,95.0,,,,,,,,,
B050,"Haba verde, cruda",Semilla,65.7,144.0,607.0,9.9,0.6,225.0,18.3,4.2,1.3,33.0,2.0,26.0,143.0,4.0,0.6,33.0,386.0,0.29,0.15,16.0,96.0,0.0,32.0,19.0,50.0,,,,
B051,"Habichuela, cocida, sin sal '",Pulpa,927.0,32.0,135.0,16.0,1.0,48.0,20.0,28.0,8.0,,,,,,,,,,,,,,,,,,,,
B052,"Habichuela, cruda Pulpa 90,0 43 182 | 2,1 0,0 7,2 4,2 |",,3.0,0.7,,,,,,,,30.0,10.0,6.0,39.0,10.0,2.0,22.0,209.0,6.0,0.1,0.7,34.0,0.0,10.0,33.0,90.0,,,,
B054,"Harina de arracacha, cruda",,80.0,368.0,1564.0,0.6,0.8,89.7,0.9,,,0.0,10.0,100.0,,,,,,,,,,,,,,,,,
B055,,,,,,,,,,,,65.0,14.0,55.0,167.0,130.0,5.0,65.0,1001.0,23.0,5.0,35.0,25.0,0.0,4.0,0.0,100.0,,,,
B056,"Harina de papa criolla, cruda",,6.6,361.0,1533.0,46.0,0.1,85.3,3.4,,,6.0,58.0,22.0,0.0,100.0,,,,,,,,,,,,,,,
B057,"Harina de plátano, cruda",,139.0,340.0,1445.0,33.0,3.0,805.0,796.0,9.0,19.0,,,,,,,,,,,,,,,,,,,,
B058,"Hariña de yuca, cruda 120 351 1492 1,1 0,3 €e",,59.0,85.7,0.3,0.7,,,,,,53.0,1.1,1.0,28.0,0.4,37.0,340.0,0.06,0.08,0.8,0.0,0.0,0.0,100.0,,,,,,
B059,,,,,,,,,,,,21.0,9.0,6.0,27.0,20.0,3.0,6.0,143.0,6.0,4.0,4.0,53.0,0.0,3.0,10.0,55.0,,,,
B060,"Lechuga romana, cruda Hojas 94,8 23 | 95 1,1 0,1 3,3 |",,1.2,2.1,0.7,,,,,,,30.0,1.0,30.0,2.0,0.2,14.0,247.0,0.07,0.07,0.3,136.0,0.0,5.0,290.0,55.0,,,,,
B061,,,,,,,,,,,,41.0,5.0,65.0,29.0,20.0,2.0,11.0,216.0,4.0,3.0,4.0,15.0,0.0,20.0,0.0,80.0,,,,
B062,"Ocra, cruda",Pulpa,89.8,45.0,188.0,1.9,0.2,72.0,40.0,3.2,0.9,82.0,0.6,7.0,61.0,0.6,57.0,300.0,0.2,0.06,1.0,72.0,0.0,22.0,47.0,0.0,,,,,
B063,,,,,,,,,,,,40.0,17.0,14.0,101.0,3.7,10.0,1806.0,0.06,6.0,11.0,24.0,0.0,11.0,30.0,95.0,,,,,
B064,,,,,,,,,,,,8.0,0.8,9.0,49.0,3.5,0.3,28.0,415.0,0.09,0.06,1.3,11.0,0.0,14.0,0.0,100.0,,,,
B065,"Papa, variedad cerosa, sabanera, con cáscara, frita, sin sal Médula",,36.5,274.0,1156.0,5.9,56.0,499.0,23.0,,,12.0,8.0,6.0,58.0,0.3,23.0,422.0,8.0,3.0,11.0,16.0,0.0,20.0,100.0,,,,,,
B066,,,,,,,,,,,,14.0,0.6,36.0,741.0,0.0,100.0,,,,,,,,,,,,,,
B067,,,,,,,,,,,,7.0,0.8,6.0,49.0,3.0,0.3,20.0,355.0,0.1,0.02,1.3,9.0,0.0,6.0,2.0,100.0,,,,
B068,,,,,,,,,,,,14.0,0.3,11.0,57.0,3.0,0.2,22.0,321.0,0.08,0.02,0.9,16.0,0.0,16.0,0.0,30.0,,,,
